"Firma_Suchname","Firma_voll","Strasse","PLZ","Ort","Bezirk","Website","Anmerkung"
"OREGO","","","","","","","nicht gefunden"
"livecom Kommunikations und Beratungs","LiveCom Kommunikations- und Beratungs GmbH","Herzmanskystraße 14/3","1140","Wien","Wien 14","",""
"Maxim Handels","MAXIM Handels GmbH","Matznergasse 42/12","1140","Wien","Wien 14","https://www.maxim-gmbh.at",""
"Solon Labs","Solon Labs GmbH","Mühlbergstraße 28/6","1140","Wien","Wien 14","https://solon-labs.com",""
"Marida Photovoltaic Solutions","MARIDA GmbH (Photovoltaic Solutions)","Pfadenhauergasse 20/16","1140","Wien","Wien 14","https://www.marida.at",""
"Jägerwald Marketing","Jägerwald Marketing GmbH","Goldschlagstraße 172/7/3","1140","Wien","Wien 14","https://www.jaegerwald.marketing","Firmenbuch-Sitz laut einer Quelle Mödling, Geschäftsadresse Wien lt. mehreren Quellen"
"Trekaro","trekaro GmbH","Kuefsteingasse 4/23","1140","Wien","Wien 14","https://trekaro.com",""
"BL Drain Tech","BL Drain-Tech GmbH","Heinrich-Collin-Straße 64/3","1140","Wien","Wien 14","https://www.drain-tech.at",""
"Andmar","","","","","","","nicht gefunden"
"Baumeister Ing. Herbert Haindl","Baumeister Ing. Herbert Haindl GmbH","Braunhubergasse 17","1110","Wien","Wien 11","https://bm-haindl.at","vereinzelt wird auch 1140 Wien genannt, überwiegende Quellenlage (WKO, Herold) nennt 1110 Wien Simmering"
"Reichenhauser Blitzschutzbau","Reichenhauser Blitzschutzbau GmbH","Schützplatz 9","1140","Wien","Wien 14","https://blitzschutz-reichenhauser.at","Hauptsitz in Weitensfeld/Kärnten, Wien ist Zweigniederlassung"
"Estrutura Bau","Estrutura Bau GmbH","Hadikgasse 288-294/4/1","1140","Wien","Wien 14","https://www.estruturabau.gmbh","laut KSV1870 Insolvenzverfahren anhängig"
"Sunion Bau","","","","","","","nicht gefunden"
"Wabra Sanierung","Wabra Sanierung GmbH","Lützowgasse 12/213","1140","Wien","Wien 14","https://www.wabra-sanierung.at",""
"Kaiko Apartments","Kaiko Apartments GmbH","Wilhelminenstraße 12/13","1160","Wien","Wien 16","https://www.kaiko-apartments.at",""
"Aspet Unternehmensberatung","ASPET Unternehmensberatung GmbH","Wolfersberggasse 11/4/3","1140","Wien","Wien 14","http://www.aspet.at",""
"Bikes Vienna by Matrix Service","Bikes+Vienna by Matrix Service GmbH","Johnstraße 1-3","1140","Wien","Wien 14","https://www.bikesplus.at","firmiert teils als ""Bikesplus Matrix Service GmbH"""
"ZIB Logistik","ZIB Logistik GmbH","Gutenhoferstraße 19","2325","Himberg","","",""
"F&E Bau","","","","","","","nicht gefunden, nur ähnlich benannte Firmen (E.F.E. Bau, F&E Bauservice) gefunden - kein sicherer Treffer"
"WK-Ideen Beteiligungs","WK-Ideen Beteiligungs GmbH","Schanzstraße 3/4","1140","Wien","Wien 14","",""
"Immo-Kunsthandel Höfer und Wieser","Immo-Kunsthandel Höfer und Wieser GmbH","","","","","","Firma existiert (FN 163540a, Wien), genaue Adresse nicht sicher verifizierbar - widersprüchliche Quellenangaben"
"Gar10","gar10 gmbh","Kampfstraße 21","1140","Wien","Wien 14","https://gartengestaltung-gar10.at","laut firmeninfo.at in Liquidation"
"VibroConcept","VibroConcept GmbH","Dreyhausenstraße 11/3","1140","Wien","Wien 14","https://vibroconcept.at",""
"Metrica Development MD","Metrica Development MD GmbH","Leegasse 7/7","1140","Wien","Wien 14","http://metrica.at",""
"A-Log Technology","","","","","","","nicht gefunden"
"pro2concept","pro2concept GmbH","Leegasse 1/1","1140","Wien","Wien 14","https://pro2.at","Marktauftritt als ""OrthoSport Pro2"" (Physiotherapie)"
"Mira Technologies","Mira Technologies GmbH","Waldweg 16 Top 5","1140","Wien","Wien 14","http://www.miratechnologies.at",""
"Innova AMB","Innova AMB GmbH","","","","","","Firma existiert laut firmenabc.at (Wien), genaue Adresse nicht sicher verifizierbar"
"Laszlo Büki Bauplanungen Bauaufsichten","Laszlo Büki GmbH Bauplanungen - Bauaufsichten","Schönbrunner Straße 213-215/4","1120","Wien","Wien 12","",""
"Skymax","SKYMAX GmbH","Albert-Schweitzer-Gasse 5","1140","Wien","Wien 14","https://www.skymax.at",""
"PTH Immobilien und Kreditvermittlung","PTH Immobilien und Kreditvermittlung GmbH","Bahnhofstraße 30-32/7","2491","Neufeld an der Leitha","","","kein Impressum/Website gefunden; Sitz lt. Firmenbuch in Neufeld/Leitha (Burgenland); zusätzlicher Bürostandort Linzer Straße 298, 1140 Wien bekannt"
"Luxury Pergola und Markisen Systems","Luxury Pergola und Markisen Systems GmbH (in Liquidation)","Am Tabor 21/27","1020","Wien","Wien 2","pergolasystems.at","Gesellschaft befindet sich in Liquidation"
"Schwager SKE","SCHWAGER SKE GmbH","Wolfgang-Pauli-Gasse 5","1140","Wien","Wien 14","schwager-ske.at",""
"ACD Immobilien","ACD Immobilien GmbH","Hadikgasse 24/1","1140","Wien","Wien 14","","keine Website gefunden"
"RPA IT Consulting","RPA IT Consulting GmbH","Rosentalgasse 10/20","1140","Wien","Wien 14","","keine Website gefunden"
"semotec","SEMOTEC GmbH","Diesterweggasse 28/A/5","1140","Wien","Wien 14","semotec.at",""
"Violix Alpha","VIOLIX Alpha GmbH & Co KG","Heinrich-Collin-Straße 27/1/7","1140","Wien","Wien 14","violix.eu","Teil der Violix-Unternehmensgruppe (mehrere verwandte Gesellschaften mit unterschiedlichen Adressen, z.B. Violix Vermögensverwaltung GmbH, Violix Objekte GmbH)"
"G119 Betriebs","G119 Betriebs GmbH","Auhofstraße 205/201A","1130","Wien","Wien 13","","keine Website gefunden"
"Technikol","Technikol GmbH","Hadikgasse 64","1140","Wien","Wien 14","technikol.at",""
"Rehfugium","REHFUGIUM.280 GmbH","Sturzgasse 1a","1140","Wien","Wien 14","","einzige auffindbare Firma mit ""Rehfugium"" im Namen, voller Wortlaut weicht ab (REHFUGIUM.280 GmbH statt ""Rehfugium""), bitte prüfen"
"Raum Kommunikation","raum & kommunikation GmbH","Lerchenfelder Gürtel 43/6/4","1160","Wien","Wien 16","raum-komm.at","mehrere Adressangaben gefunden (Firmenbuchadresse verwendet; Büro laut Website teils Bloch-Bauer-Promenade 13/2b, 1100 Wien)"
"Linxs Information Management","Linxs Information Management GmbH","Hauptstraße 108","1140","Wien","Wien 14","linxs.at",""
"VieWoBau Projects","VieWoBau Projects GmbH","Linzer Straße 81/8","1140","Wien","Wien 14","viewobau.at","nicht zu verwechseln mit verwandter Firma ""VieWoBau, Wohnbau und Projektentwicklungs GmbH"" (Enenkelstraße 5/7, 1160 Wien)"
"EUCOMA Holding","EUCOMA Holding GmbH","Sturzgasse 1a","1140","Wien","Wien 14","eucoma.at",""
"REW Munitionsbergungs","REW Munitionsbergungs GmbH","Max-Reinhardt-Gasse 13","1140","Wien","Wien 14","rew-munition.eu","Quellen uneinheitlich (vereinzelt auch 1100 Wien/1070 Wien genannt), Mehrheit (WKO, KSV1870) nennt 1140 Wien"
"ZET Data Consult","ZET Data Consult GmbH","Hadikgasse 64","1140","Wien","Wien 14","","keine Website gefunden"
"Punkt Handels","","","","","","","nicht gefunden"
"SOMI Immobilieninvestment","SOMI Immobilieninvestment GmbH","Linzerstraße 271","1140","Wien","Wien 14","somi.co.at","mehrere verwandte Gesellschaften vorhanden (eins/zwei/fünf GmbH), Basisgesellschaft ""SOMI Immobilieninvestment GmbH"" verwendet"
"IS Infinity Services","IS Infinity Services GmbH","Isbarygasse 20A","1140","Wien","Wien 14","infinity-services.at",""
"Salud","Salud GmbH","Breitenseer Straße 48/1-4a","1140","Wien","Wien 14","salud.at",""
"Frauscher Consulting","Frauscher Consulting GmbH","Bergmillergasse 8/2/2","1140","Wien","Wien 14","frauscher.consulting",""
